close,high,low,open,volume,baseVolume,conversionType,conversionSymbol,datetime
10353.9,10389.22,10240.3,10292.08,7267.25,75032480.75,force_direct,,2020-07-27 13:00:00
10415.1,10440.0,10302.15,10353.9,7972.57,82620481.67,force_direct,,2020-07-27 14:00:00
10299.9,10416.53,10276.03,10415.1,5857.72,60531113.59,force_direct,,2020-07-27 15:00:00
10720.68,10780.0,10294.42,10299.9,13431.24,141328439.56,force_direct,,2020-07-27 16:00:00
10872.57,10950.0,10650.0,10720.68,15202.45,164221991.94,force_direct,,2020-07-27 17:00:00
10841.22,10903.0,10731.59,10872.57,5739.44,62180206.62,force_direct,,2020-07-27 18:00:00
10792.0,10843.6,10720.03,10841.22,3790.42,40841568.09,force_direct,,2020-07-27 19:00:00
10875.36,10883.62,10782.02,10792.0,3079.84,33326739.46,force_direct,,2020-07-27 20:00:00
11088.73,11120.0,10807.09,10875.36,5949.7,65204443.36,force_direct,,2020-07-27 21:00:00
11206.21,11394.86,11050.0,11088.73,13785.59,154681671.19,force_direct,,2020-07-27 22:00:00
11029.96,11210.64,10680.0,11206.21,8062.24,88708393.65,force_direct,,2020-07-27 23:00:00
11155.86,11242.23,11024.73,11029.96,3989.53,44523597.87,force_direct,,2020-07-28 00:00:00
11200.0,11238.0,11088.76,11155.86,3372.49,37663185.32,force_direct,,2020-07-28 01:00:00
10974.32,11200.0,10961.24,11200.0,3673.41,40689592.56,force_direct,,2020-07-28 02:00:00
10971.42,10986.84,10828.0,10974.32,4928.54,53789015.72,force_direct,,2020-07-28 03:00:00
11044.98,11045.2,10933.07,10971.42,2865.83,31514252.17,force_direct,,2020-07-28 04:00:00
10883.65,11045.31,10854.55,11044.98,3421.19,37431316.86,force_direct,,2020-07-28 05:00:00
10940.73,10995.55,10835.0,10883.65,4521.65,49383315.78,force_direct,,2020-07-28 06:00:00
10881.62,11000.0,10840.0,10940.73,3723.14,40674355.75,force_direct,,2020-07-28 07:00:00
10725.96,10905.68,10700.0,10881.62,5985.96,64649817.83,force_direct,,2020-07-28 08:00:00
10770.27,10810.07,10695.3,10725.96,4710.0,50719740.9,force_direct,,2020-07-28 09:00:00
10806.18,10823.99,10565.0,10770.27,7227.7,77306397.44,force_direct,,2020-07-28 10:00:00
10983.9,11023.0,10790.04,10806.18,6927.31,75700595.01,force_direct,,2020-07-28 11:00:00
